ID,Start time,Completion time,Email,Name,Last modified time,"Provide adequate teaching resources for classes with large enrollments, challenging time schedules or difficult schedules",Upgrade technology and training so that hybrid teaching is possible and of high quality,Provide faculty with mentoring opportunities in competency-based training on undergraduate and graduate-level teaching,Create three-year teaching schedules,Replace student evaluations of teaching with more evidence based methods for ensuring quality teaching,Allow course release for national level service participation (e.g. Chair of a professional society),Provide incentives and training for mentoring PhD students,Create transparent and realistic faculty workload models that distribute workloads equitably across faculty in the department,Any other action not mentioned (type in your answer):,Actions in Teaching,What is your top priority item?,What is your second priority item?,What is your third priority item?,Column8,Column2,Change faculty dispute resolution practices to be more humane and problem solving,"Require leadership training and develop competencies of Chancellors, Deans, Chairs, and administrators related to problem solving, conflict resolution, and academic freedom",Establish salary structures that insure that salaries of faculty are higher than staff and postdoctoral fellows,Decrease the pay gap between tenure track and teaching track faculty,Ensure transparent merit procedures and allocation of available funds,Ensure salary raises for those who have had outstanding performance each year,Deal with salary compression of senior faculty who have served the UW for a long time,Request the UW administration of Seattle-Bothell-Tacoma to come up with a shared vision for the future of the University of Washington's three campuses,"Create an officer or office for faculty wellbeing in Academic Personnel, so there is a person or group responsible for these actions",Any other action not mentioned (type in your answer):2,Action Items Government,What is your top priority item?2,What is your second priority item?2,What is your third priority item?2,What is your third priority item?23,What is your third priority item?22,Create climate for acceptable academic discourse,Provide leadership skills for faculty at all ranks,Provide easy access to mental health services for faculty,Create safety programs for faculty working in all UW environments (labs and classrooms),Co-locate faculty in departments who do similar work (teaching and research topics),"Upgrade office spaces and departments that are clean, colorful, and welcoming",Consider implementing family tuition reimbursement program so our children can get a free or reduced cost of UW education,Create an academic landscape one can understand - this could be done with an organizational chart for each school/department,Any other action not mentioned (type in your answer):3,Action Items Worklife,What is your top priority item?3,What is your second priority item?3,What is your third priority item?3,Column3,Column4,"Foster a supportive research environment around grant writing, publication, and statistical assistance that is free to faculty",Provide access to indirect cost recovery funds to the PI,Assist with creating more research platforms with industry,Co-create funding methods with research faculty,Create research/scientist research series for elevating research methods for all,Update lab equipment for research and teaching,"Create a database of available research staff, so that talent developed at UW can be kept and shared across departmental units and colleges",Any other action not mentioned (type in your answer):4,Actions in Research ,What is your top priority item?4,What is your second priority item?4,What is your third priority item?4,"Below, please write in any other action(s) you would like to see the UW take to address the issues mentioned above:",Column9,What is your main campus location?,Column5,What is your school or college?,Column10,Column6,What is your academic rank?,Column7,What is your sex/gender?,"If you are willing to participate in a qualitative interview related to this survey, please place your UW NetID in the box below. In doing so, your survey responses will no longer be anonymous."
530,4/18/24 12:39:12,4/18/24 13:06:30,anonymous,,,1 - Highest ,4,4,3,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest ,"Consider ""overtime"" pay and set limits on workload and make it easier to promote teaching faculty.

And read this below...

I am a teaching professor that teachers over 1200 students every year in the math department.  I have been doing this for 20 years.  I have won the distinguished teaching award, the honors excellence in teaching award, the Panhellenic teacher of the year award among other things.  I am quite popular with students and I love to teach. But this year I am teaching 1400+ students so my workload has dramatically increased.  At the same time in the last 10 years, the number of students with accommodations have dramatically increased (10 years ago 0.5% of my students had DRS accommodations, now it is 4.5%... 10 years ago I had 5 students claim sickness and miss an exam, this year I have had 80 students do this.. 10 years ago I have no students claim religious accommodations, this year I have had 8).  So in addition to my class sizes increasing, my workload per students has also dramatically increased.

While at the same time, I continue to be one of lower paid faculty members in my department (my pay is well below that of ALL the tenured-track faculty in my department including new hires).  

Add to this, I have the highest teaching evaluations in my department (and some the highest on campus) and I have taught more students at UW than any other person in the last 20 years!  But I am told by my chair that the University does not provide a way to reward me financially or with teaching release for my intense load or great evaluations or popularity in classes. He says the university does not consider number of students or teaching quality in distributing money to departments in any way. They also tell me they don't do retention raises for teaching faculty.  So basically, I am told it doesn't matter how many students I teach or how good a job I do.   While at the same time my tenured colleagues teach much smaller classes, many fewer classes, didn't win teaching awards, and get paid almost double what I make (and several of them have very poor teaching evaluations).  

Some of my teaching colleagues have been in my department for 20 years and NEVER been promoted which is truly awful. We are told that the path to full teaching promotion is too unclear to try.  While at the same time tenured faculty in our department get promoted every three years on average.  I was lucky to get promoted, but it is truly awful that my colleagues haven't been.

Ten years ago, tenured faculty in our department made 60% more than teaching faculty.  Now they make about 100% more than teaching faculty.  This is also awful.  

Teaching faculty in our department now to all the course coordination and chair most the committees (so our teaching load, service load has gone dramatically up, but our pay hasn't changed).  Tenured faculty now are chair almost no committees, so service has passed to teaching faculty mostly.

I have all this data and can quantify my complains.  We just met with our chair as a group, and he was also appalled and plans to try to work with us.  But he is constrained by university rules... so we need support from the university administration, please, please help us!

The current situation seems inconsistent with a university saying they value teaching.  I personally have given up on this for myself and just focus on serving my students which is what I love to do.  But I do want to fight for my colleagues to at least get promoted, they are incredible, please help us.",Pay,Realistic faculty workloads,Realistic faculty workloads,Realistic faculty workloads,,,4,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,5 - Lowest,,,Decrease pay gap,Salary structure,Salary structure,,,3,5 - Lowest,4,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest,4,,,Family tuition rates,Family tuition rates,Family tuition rates,,,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,,,,"
",,Seattle,,UWS - College of Arts & Sciences,,,Teaching Professor,,Male,aloveles@uw.edu
652,4/24/24 12:24:15,4/24/24 12:33:04,anonymous,,,3,5 - Lowest,4,2,3,2,3,1 - Highest ,"Raise salary floors, especially for non-tenure track positions (namely Teaching Professorships of all ranks)",Pay,Other,Realistic faculty workloads,Three-year teaching schedule,,,3,2,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,3,2,,,Decrease pay gap,Salary structure,Salary compression,,,2,2,3,3,3,2,2,3,,,Climate for discourse,Upgrade office spaces,Family tuition rates,,,1 - Highest,2,3,2,3,3,1 - Highest,,,Free grant support resources,Access to indirect costs,Database of research staff,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Teaching Professor,,Male,
686,4/24/24 12:47:41,4/24/24 12:57:58,anonymous,,,2,4,2,2,1 - Highest ,1 - Highest ,1 - Highest ,1 - Highest ,"Improving salary for all faculty (annual cost of living increases, at the very least).  The so-called merit increase should be on top of cost of living increases.  The salary devaluation is simply demoralizing - it undermines loyalty to the institution.",Pay,Other,Course release,Replace student evaluations,,,3,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,1 - Highest,,,Salary raises,Create officer for faculty wellbeing,Salary compression,,,1 - Highest,1 - Highest,3,3,5 - Lowest,4,2,5 - Lowest,,,Climate for discourse,Leadership training,Family tuition rates,,,1 - Highest,1 - Highest,3,4,1 - Highest,2,1 - Highest,,,Database of research staff,Create research methods series,Access to indirect costs,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Female,
738,4/24/24 13:56:13,4/24/24 14:09:11,anonymous,,,1 - Highest ,2,2,3,2,2,2,2,,Pay,Teaching resources,Realistic faculty workloads,Upgrade technology,,,3,2,1 - Highest,2,2,2,1 - Highest,2,2,,,Salary structure,Salary compression,Transparent merit process,,,1 - Highest,2,2,1 - Highest,3,2,4,3,,,Climate for discourse,Safety programs,Leadership training,,,1 - Highest,1 - Highest,1 - Highest,3,3,1 - Highest,2,,,Free grant support resources,Update lab equipment,Access to indirect costs,,,Seattle,,UWS - School of Public Health,,,Professor,,Male,
778,4/24/24 13:40:43,4/24/24 16:50:22,anonymous,,,3,2,3,3,2,2,2,2,"Sustainable compensation and time to develop, revamp, update courses and prepare to instruct at the highest level of quality.  Supports faculty to work slower so that we can invest in developing students' foundational learning and professional/soft skills in teaching.",Pay,Realistic faculty workloads,Training for mentoring graduate students,Replace student evaluations,,,3,2,3,3,3,3,3,2,3,,,Shared vision of leadership,Leadership training ,Transparent merit process,,,2,2,3,3,2,3,1 - Highest,3,,,Family tuition rates,Climate for discourse,Co-locate faculty,,,2,1 - Highest,2,2,3,3,3,,,Access to indirect costs,Free grant support resources,Co-create funding methods,"Comment - To some degree I think priorities among these items may differ depending on discipline and related research type.  So, perhaps being open to different needs and priorities could be both efficient and impactful.",,Seattle,,UWS - School of Medicine,,,Assistant Research Professor,,Male,joonhoyu@uw.edu
821,4/25/24 17:14:59,4/25/24 17:20:45,anonymous,,,1 - Highest ,3,1 - Highest ,1 - Highest ,1 - Highest ,1 - Highest ,3,1 - Highest ,,Pay,Replace student evaluations,Teaching resources,Realistic faculty workloads,,,3,2,1 - Highest,2,2,2,1 - Highest,4,3,,,Decrease pay gap,Salary raises,Salary compression,,,2,1 - Highest,3,3,3,3,1 - Highest,3,,,Family tuition rates,Leadership training,Climate for discourse,,,2,2,5 - Lowest,2,4,2,,,,Access to indirect costs,More research platforms,,,,Seattle,,UWS - Evans School of Public Policy and Governance,,,Associate Teaching Professor,,Female,no
839,4/27/24 23:57:15,4/28/24 0:07:09,anonymous,,,2,5 - Lowest,5 - Lowest,2,1 - Highest ,4,5 - Lowest,2,Provide substantive help for faculty. For example- faculty should be paying reduced parking rates (or none....paying to work at your own job is exceedingly insulting).,Pay,Replace student evaluations,Realistic faculty workloads,Three-year teaching schedule,,,4,4,2,1 - Highest,3,2,3,5 - Lowest,5 - Lowest,"No more ""offices"" or ""task forces."" ACTION is needed, not more words, wasted time, and wasted money for administrative positions",,Decrease pay gap,Salary raises,Salary structure,,,5 - Lowest,4,5 - Lowest,5 - Lowest,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,,,Upgrade office spaces,Family tuition rates,Co-locate faculty,,,2,2,3,5 - Lowest,5 - Lowest,2,3,,,Update lab equipment,Access to indirect costs,Free grant support resources,,,Bothell,,UWB - School of STEM,,,Assistant Teaching Professor,,Male,
846,4/29/24 9:40:02,4/29/24 9:44:07,anonymous,,,3,3,4,1 - Highest ,2,3,1 - Highest ,1 - Highest ,,Pay,Training for mentoring graduate students,Replace student evaluations,Mentoring for teaching,,,1 - Highest,2,1 - Highest,3,2,1 - Highest,3,3,3,,,Salary raises,Shared vision of leadership,Salary structure,,,1 - Highest,3,2,3,1 - Highest,1 - Highest,2,1 - Highest,,,Climate for discourse,Create organizational charts,Family tuition rates,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,3,3,,,Access to indirect costs,Co-create funding methods,More research platforms,,,Seattle,,UWS - School of Medicine,,,Professor,,Prefer not to share,
317,4/15/24 21:00:07,4/15/24 21:12:46,anonymous,,,3,1 - Highest ,3,5 - Lowest,5 - Lowest,5 - Lowest,3,1 - Highest ,Create peer teaching assessment process and resources to support it happening that is more relevant to providing growth in pedagogical approaches. ,Pedagogical Skills,Upgrade technology,Realistic faculty workloads,as noted in the other action (peer teaching evals/coaching),,,4,5 - Lowest,,5 - Lowest,1 - Highest,3,2,5 - Lowest,5 - Lowest,,,Transparent merit process,Salary compression,Salary raises,,,2,3,4,1 - Highest,4,1 - Highest,2,5 - Lowest,,,Safety programs,Upgrade office spaces,Family tuition rates,,,5 - Lowest,1 - Highest,2,4,4,3,5 - Lowest,Better access to reduced open access publication fees through library subscriptions. ,Core Resources,Access to indirect costs,More research platforms,open access publication fee waivers/reductions,Not all faculty do statistical/quantitative research- would want similar supports identified for humanities and other forms of research if support provided for lab-based work.,,Seattle,,,,,Professor,,Prefer not to share,
217,4/15/24 16:24:06,4/15/24 17:06:47,anonymous,,,3,3,,,2,2,,1 - Highest ,,Peer Teaching Reviews,Realistic faculty workloads,Replace student evaluations,Course release,,,,,2,1 - Highest,1 - Highest,2,2,,3,,,Transparent merit process,Decrease pay gap,Salary raises,,,4,2,2,,,,3,,,,Leadership training,Climate for discourse,Family tuition rates,,,,,,,,,,,Core Resources,,,,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Prefer not to share,
387,4/16/24 9:15:06,4/16/24 9:26:08,anonymous,,,1 - Highest ,5 - Lowest,1 - Highest ,4,2,1 - Highest ,1 - Highest ,2,Provide stronger pathways for professional development for teaching track faculty that also enable them to have a quarter with a lower teaching load so they can focus on developing novel teaching strategies focused on inclusion and equity (instead of having to do this without any departmental/personal budget and in their spare time),Professional Development,Other,Teaching resources,Course release,,,2,3,2,1 - Highest,1 - Highest,2,1 - Highest,2,1 - Highest,,,Decrease pay gap,Salary compression,Create officer for faculty wellbeing,,,1 - Highest,3,1 - Highest,3,4,4,3,3,,,Climate for discourse,Access to mental health,,,,3,3,3,3,3,3,3,"Create more funding opportunities at UW for teaching track faculty to write a teaching (text)book or collaborate with undergraduate students for research. Many external funding resources do not consider teaching track faculty to be eligible due to lower publication records. At UW, only the Simpson Center and the RRF are open to teaching faculty.",Teaching Faculty in Research,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Teaching Professor,,Prefer not to share,
303,4/15/24 20:11:47,4/15/24 20:15:54,anonymous,,,1 - Highest ,3,2,3,2,3,3,1 - Highest ,,Professional Development,Teaching resources,Realistic faculty workloads,Three-year teaching schedule,,,3,3,3,2,2,2,2,3,3,,,Decrease pay gap,Transparent merit process,,,,2,2,2,3,3,3,2,2,,,Create organizational charts,Family tuition rates,Access to mental health,,,3,3,3,3,3,3,3,,Arts,,,,,,Seattle,,UWS - School of Pharmacy,,,Associate Professor of Clinical Practice,,Female,
252,4/15/24 17:41:14,4/15/24 17:49:32,anonymous,,,1 - Highest ,1 - Highest ,2,5 - Lowest,4,4,3,3,provide faculty with national committee vacancy opportunities for professional growth and to keep UW at national discussions. Make these opportunities accessible to all.,Professional Development,Upgrade technology,Teaching resources,Mentoring for teaching,,,2,1 - Highest,2,4,2,3,3,4,3,,,Leadership training ,Change dispute resolution,Transparent merit process,,,1 - Highest,2,3,2,4,4,5 - Lowest,3,,,Climate for discourse,Leadership training,Safety programs,,,1 - Highest,3,2,4,3,4,3,,,Free grant support resources,More research platforms,Create research methods series,,,Seattle,,UWS - School of Medicine,,,Professor,,Female,ekc16
204,4/15/24 16:45:56,4/15/24 16:54:01,anonymous,,,1 - Highest ,4,2,5 - Lowest,1 - Highest ,5 - Lowest,3,2,,Promotion,Replace student evaluations,Teaching resources,Mentoring for teaching,,,3,2,1 - Highest,2,4,4,1 - Highest,5 - Lowest,5 - Lowest,,,Salary compression,Leadership training ,Salary structure,,,2,1 - Highest,1 - Highest,2,3,4,1 - Highest,4,,,Family tuition rates,Leadership training,Access to mental health,,,2,1 - Highest,1 - Highest,1 - Highest,2,3,4,,,Access to indirect costs,Co-create funding methods,More research platforms,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Female,
579,4/22/24 9:01:52,4/22/24 10:07:13,anonymous,,,1 - Highest ,1 - Highest ,2,3,1 - Highest ,3,2,1 - Highest ,Clarify promotion expectations (esp. around scholarship) for teaching track faculty and provide mentorship to ensure teaching track faculty's success,Promotion,Upgrade technology,Realistic faculty workloads,Replace student evaluations,,,2,2,1 - Highest,2,1 - Highest,2,1 - Highest,2,2,"1. Align faculty salary with the workload and evaluation of effectiveness/productivity associated with their track (reasons: tenure track (including WOT), teaching track, research track, and clinical practice track faculty have different roles with the respect to teaching, research, and service missions, which results in different expectations and workloads.)

2. Reduce the use of faculty titles not in the Faculty Code to provide better protection to these faculty",,Salary structure,Transparent merit process,Salary compression,,,1 - Highest,2,1 - Highest,1 - Highest,3,2,3,3,,,Climate for discourse,Safety programs,Access to mental health,,,1 - Highest,1 - Highest,2,2,2,3,2,,,Free grant support resources,Access to indirect costs,More research platforms,,,Seattle,,UWS - School of Nursing,,,Associate Professor,,Prefer not to share,
722,4/24/24 13:20:21,4/24/24 13:32:08,anonymous,,,2,3,3,3,1 - Highest ,2,1 - Highest ,3,Ask departments to focus on their core skills and reduce focus on anti-racism ,Reduce DEI,Other,Replace student evaluations,Mentoring for teaching,,,5 - Lowest,3,2,3,3,3,1 - Highest,3,5 - Lowest,,,Salary compression,Salary structure,Decrease pay gap,,,1 - Highest,3,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,3,4,,,,,,,,3,1 - Highest,2,3,2,2,3,,,Access to indirect costs,Update lab equipment,More research platforms,,,Seattle,,UWS - School of Public Health,,,Research Professor,,Prefer not to share,
139,4/15/24 16:12:30,4/15/24 16:19:00,anonymous,,,3,2,3,,2,3,3,1 - Highest ,,Reduce TA Support,Realistic faculty workloads,Upgrade technology,Replace student evaluations,,,3,3,2,2,1 - Highest,1 - Highest,2,2,1 - Highest,,,Salary raises,Create officer for faculty wellbeing,Transparent merit process,,,2,3,2,3,3,1 - Highest,3,3,,,Upgrade office spaces,Access to mental health,,,,2,4,5 - Lowest,5 - Lowest,4,5 - Lowest,4,"Anything that would help support humanistic research, which is so often forgotten at the UW",Arts,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Professor,,Something else,
38,4/15/24 15:41:52,4/15/24 15:50:27,anonymous,,,1 - Highest ,5 - Lowest,4,4,3,2,2,1 - Highest ,"Yes, teaching the larger enrollment classes should count as teaching 2 (or more) classes, not just 1. As it stands, a class of 10 graduate students is considered to be 1 course, just the same as teaching a class of 180 or more students. This is not fair or equitable. It is a real problem in Arts and Sciences. There is simply no respect given to the teaching faculty and their contributions.",Respect,Realistic faculty workloads,Course release,Teaching resources,,,3,2,2,1 - Highest,1 - Highest,1 - Highest,2,,,,,Decrease pay gap,Transparent merit process,Leadership training ,,,2,2,3,3,3,3,3,3,,,Climate for discourse,,,,,,,,,,,,,,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Teaching Professor,,Female,grover4
377,4/16/24 8:51:29,4/16/24 8:56:43,anonymous,,,2,1 - Highest ,3,1 - Highest ,1 - Highest ,3,4,3,,Respect,Replace student evaluations,Teaching resources,Three-year teaching schedule,,,4,2,2,3,4,2,1 - Highest,5 - Lowest,5 - Lowest,,,Decrease pay gap,Salary raises,Salary compression,,,1 - Highest,3,4,5 - Lowest,3,1 - Highest,1 - Highest,5 - Lowest,,,Upgrade office spaces,Upgrade office spaces,Upgrade office spaces,,,3,1 - Highest,3,3,,1 - Highest,3,,,Access to indirect costs,Update lab equipment,Free grant support resources,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Prefer not to share,
497,4/17/24 9:35:39,4/17/24 9:44:02,anonymous,,,2,2,2,1 - Highest ,1 - Highest ,3,1 - Highest ,1 - Highest ,,Respect,Realistic faculty workloads,Replace student evaluations,Three-year teaching schedule,,,2,1 - Highest,2,2,1 - Highest,2,2,3,1 - Highest,,,Transparent merit process,Leadership training ,Decrease pay gap,,,5 - Lowest,4,2,2,3,2,1 - Highest,3,,,Family tuition rates,Access to mental health,Upgrade office spaces,,,1 - Highest,2,5 - Lowest,3,4,4,4,,,Free grant support resources,Access to indirect costs,Co-create funding methods,,,Tacoma,,UWT - School of Interdisciplinary Arts & Sciences,,,Assistant Professor,,Female,
